NBlades 2
Blade 0
	npoints 180
	nsections 20
	section 0
		xss rth_ss r xps rth_ps r
		0.040389 -0.056453 0.198694 0.040195 -0.056519 0.198991
		0.040344 -0.056472 0.198699 0.040235 -0.056509 0.198986
		0.040286 -0.056493 0.198705 0.040286 -0.056493 0.198980
	section 2
		xss rth_ss r xps rth_ps r
		0.000372 -0.000776 0.205111 0.000372 -0.000776 0.205111
		0.000376 -0.000734 0.205111 0.000372 -0.000776 0.205111
		0.000388 -0.000642 0.205111 0.000375 -0.000818 0.205111
		0.000403 -0.000550 0.205111 0.000380 -0.000862 0.205111
		0.000425 -0.000437 0.205111 0.000385 -0.000901 0.205111
		0.000448 -0.000337 0.205111 0.000392 -0.000945 0.205111
		0.000465 -0.000267 0.205111 0.000402 -0.000995 0.205111
		0.000480 -0.000211 0.205111 0.000416 -0.001055 0.205111
		0.000499 -0.000152 0.205111 0.000431 -0.001113 0.205111
		0.000525 -0.000080 0.205111 0.000440 -0.001149 0.205111
		0.000570 0.000032 0.205111 0.000450 -0.001183 0.205111
		0.000660 0.000239 0.205111 0.000458 -0.001207 0.205111
		0.000720 0.000368 0.205111 0.000466 -0.001231 0.205111
		0.000808 0.000540 0.205111 0.000476 -0.001256 0.205111
		0.000910 0.000728 0.205111 0.000487 -0.001282 0.205111
		0.001014 0.000906 0.205111 0.000499 -0.001308 0.205111
		0.001145 0.001117 0.205111 0.000516 -0.001342 0.205111
		0.001274 0.001313 0.205111 0.000537 -0.001380 0.205111
		0.001426 0.001529 0.205110 0.000570 -0.001434 0.205111
		0.001579 0.001735 0.205110 0.000623 -0.001518 0.205111
		0.001749 0.001951 0.205110 0.000661 -0.001578 0.205111
		0.001923 0.002159 0.205109 0.000694 -0.001625 0.205111
		0.002107 0.002369 0.205109 0.000729 -0.001672 0.205111
		0.002297 0.002573 0.205108 0.000776 -0.001731 0.205111
		0.002493 0.002773 0.205107 0.000845 -0.001814 0.205111
		0.002694 0.002967 0.205106 0.000921 -0.001900 0.205111
		0.002900 0.003155 0.205105 0.000986 -0.001970 0.205111
		0.003108 0.003335 0.205104 0.001068 -0.002054 0.205111
		0.003322 0.003510 0.205102 0.001187 -0.002170 0.205111
		0.003534 0.003674 0.205099 0.001296 -0.002270 0.205111
		0.003755 0.003835 0.205096 0.001441 -0.002398 0.205111
		0.003970 0.003984 0.205093 0.001607 -0.002538 0.205111
		0.004195 0.004130 0.205089 0.001819 -0.002707 0.205111
		0.004413 0.004263 0.205085 0.002058 -0.002891 0.205109
		0.004641 0.004394 0.205080 0.002364 -0.003117 0.205106
		0.004860 0.004512 0.205074 0.002753 -0.003396 0.205100
		0.005093 0.004629 0.205068 0.003250 -0.003742 0.205092
		0.005311 0.004731 0.205060 0.003893 -0.004181 0.205081
		0.005547 0.004834 0.205053 0.004611 -0.004669 0.205069
		0.005764 0.004922 0.205044 0.005246 -0.005105 0.205055
		0.006006 0.005011 0.205036 0.005829 -0.005510 0.205038
		0.006222 0.005085 0.205026 0.006379 -0.005899 0.205020
		0.006468 0.005161 0.205017 0.006909 -0.006279 0.204999
		0.006685 0.005221 0.205006 0.007422 -0.006656 0.204977
		0.006935 0.005283 0.204995 0.007924 -0.007032 0.204954
		0.007154 0.005331 0.204984 0.008417 -0.007408 0.204930
		0.007409 0.005380 0.204968 0.008902 -0.007786 0.204904
		0.007632 0.005416 0.204960 0.009381 -0.008167 0.204878
		0.007912 0.005452 0.204944 0.009855 -0.008552 0.204851
		0.008115 0.005474 0.204931 0.010325 -0.008942 0.204823
		0.008330 0.005490 0.204911 0.010791 -0.009336 0.204795
		0.008604 0.005504 0.204905 0.011253 -0.009735 0.204767
		0.008786 0.005508 0.204900 0.011712 -0.010140 0.204738
		0.009219 0.005503 0.204859 0.012169 -0.010552 0.204709
		0.009376 0.005499 0.204852 0.012622 -0.010968 0.204680
		0.009533 0.005490 0.204842 0.013074 -0.011392 0.204651
		0.009906 0.005455 0.204821 0.013523 -0.011821 0.204622
		0.010176 0.005423 0.204808 0.013971 -0.012258 0.204594
		0.010406 0.005390 0.204788 0.014416 -0.012700 0.204566
		0.010656 0.005346 0.204773 0.014860 -0.013150 0.204538
		0.010943 0.005288 0.204754 0.015301 -0.013606 0.204511
